id;nombre;direccion;titulo;rut;telefono
1;EXE input disintermediate;Electronics Mississippi;process improvement Engineer;circuit synthesizing;21012
2;Chad zero defect world-class;Australian Dollar;Coordinator;Metrics PNG;11159
3;compressing;Branding;Sleek Granite Shoes Internal;indigo;56471
4;Tasty bandwidth;Generic Cotton Bacon Towels New York;circuit JBOD collaborative;Down-sized Specialist connect;50987
5;digital;Assistant Accounts Fish;Metal Granite;driver Avon;14061
6;Branding incubate;monitor virtual;Montana EXE;plug-and-play;43155
7;Credit Card Account;Profound orchid;North Carolina portals Tasty;Forward;76844
8;override;Universal Implemented;Granite dedicated Arizona;Borders Borders;3739
9;Paradigm Chief Minnesota;e-tailers Hungary Burg;Licensed Jewelery;infrastructure;48283
10;Azerbaijanian Manat;Plastic HDD;Grocery Montenegro North Korean Won;Soft Vanuatu Jewelery;25226
